category,question,answer
違禁品,安檢時碰到不得上機之危險（安）物品及違禁品，應如何處理？,不得上機之危險（安）物品﹕例如超過100ml容器液體、防風型打火機、水果刀…等），需丟棄或改託運；違法違禁品（槍、武士刀、扁鑽、毒品…等），將遭航空警察局移送法辦。
違禁品,請問樂器該如何上飛機?,大型樂器需託運，小型可置於機上隨身物品放置箱者可隨身攜帶。
違禁品,請問出境安檢手提行李的規定 （刮鬍刀、刮鬍泡、電動刮鬍刀、防狼噴霧劑、針頭、行動電源、鋰電磁、相機腳架/釣魚竿/衝浪板/針筒/武士刀/拍立得底片/身上有鋼釘/裝有心律調整器）,"出境安檢手提行李規定：

1. 電動刮鬍刀可以攜帶登機，丟棄式刮鬍刀、摺疊式刮鬍刀等有刀片外露形式者，禁止攜帶登機。
2. 刮鬍泡、容器容量超過100ml之液體、膠狀物品、噴霧狀物品禁止攜帶登機。防狼噴霧劑不得手提及隨身攜帶，另外飛港澳班機亦不可託運（香港、澳門對旅客手提、隨身或託運攜帶防狼噴霧劑依情節輕重可能被處以罰鍰或拘留）。
3. 針頭因有傷害性，禁止攜帶登機。
4. 行動電源、鋰電池限隨身攜帶2顆登機，接頭建議自行包裝絕緣。
5. 相機腳架、釣魚竿、衝浪版需託運。
6. 武士刀為違禁品，隨身攜帶經查獲將遭移送。
7. 針筒、拍立得底片無限制，可攜帶登機。
8. 身上有鋼釘、裝有心律調整器者應持合格醫生開立醫療證明再向航空警察局執勤警員報備，免經金屬門安檢。
"
違禁品,請問母奶可否上飛機，規定如何,攜帶母奶登機，無論液態或結凍為固態，皆可向航空警察局執勤警員報備後攜帶登機。
違禁品,請問若需攜帶隨身藥品或針劑類出國，需如何辦理,向航空警察局出示證明文件（如診斷證明）後，即可隨身攜帶登機，但以飛機上旅客使用足夠量即可，其餘藥品或針劑請辦理託運。
違禁品,請問安檢時物品被安檢同仁收走，該如何拿回,"
    如不慎遺失物品於安檢作業區，可洽本機場遺失物查詢網頁平台查詢，或電洽服務電話03-3982538。
    
    詳見遺失物查詢網頁平台
"
簽證與護照,請問落地簽証該如何辦理,"

1. 持港、澳、大陸護照之民眾請洽移民署國境事務大隊簽證櫃檯辦理。
2. 持其餘國籍護照之民眾請洽外交部領事事務局簽證櫃檯辦理。
"
簽證與護照,請問簽證過期該如何處理,"
    請洽外交部領事事務局各地辦事處辦理護照換新。
"
簽證與護照,請問自動通關如何加蓋章,通過自動通關後，如需加蓋入出境章戳，可至移民署公務檯申請蓋印。
簽證與護照,請問機票與護照名字不同該如何處理,請盡速聯絡所搭乘之航空公司或訂票之旅行社詢問處理方式。
簽證與護照,護照快過期是否可入境,持中華民國護照效期內可入境外國護照效期需6個月以上才可入境
航空公司與報到,請問機票想要改名，該如何處理,請直接聯絡所搭乘之航空公司或訂位之旅行社。
航空公司與報到,請問電子機票如何使用,若您所購買的為電子機票，請持電子機票收據至報到櫃台以利航空公司人員查驗，詳細規定請洽各航空公司。
航空公司與報到,請問隨身行李、託運行李限重問題,"

1. 赴美旅客行李每人限兩件，每件限重23公斤，往其他國家地區旅客，託運行李是按重量計算，頭等艙、商務艙30公斤、經濟艙20公斤。
2 旅客所攜帶之隨身行李尺寸：長56公分、寬36公分、高23公分。
3. 各航空公司規定有所差異，詳細資訊請逕洽航空公司。
"
航空公司與報到,詢問信用卡買機票到機場是否要再提出卡片確認,航空公司為確保購票之信用卡確實為持卡人所有，因此旅客於機場報到時必須出購票之信用卡，以保障並且確認持卡人的權益未被他人冒用，其餘相關規定請洽各航空公司。
航空公司與報到,請問最早多久前可以到櫃檯報到,旅客應於航班起飛前2～3個小時，向所搭乘之航空公司報到櫃台完成報到手續，最遲完成報到時間請以旅客所搭乘航空公司規定為準。
聯外交通/場內交通,請問機場停車場如何計算停車費,"

    本公司各停車場費率公告於公司網頁，詳見停車場資訊頁面
"
聯外交通/場內交通,請問復康巴士要在何處接送出入境旅客,復康巴士若有於桃園機場接送旅客之需求，目前皆與小客車停靠相同區域，可循道路標誌指引分別至「第一航廈入境」、「第一航廈出境」、「第二航廈入境」、「第二航廈出境」接送旅客。
聯外交通/場內交通,請問要如何從第一航廈到第二航廈（管制區內出境層）,兩航廈透過出境長廊相通，登機門A1-A9與D1-D10相連、B1-B9與C1-C10相連，旅客可透過步行通行，長廊上設有多處免稅商店及服務設施供旅客使用，步行時間約15至20分鐘。
聯外交通/場內交通,請問到台北最晚幾點有客運，如何搭乘,"
    夜間往台北可搭乘國光客運1819路線（24小時營運），詳細時刻表請參考客運巴士頁面
"
